Fecha,ssm_input_ready,ssm_warmup_complete,ssm_recovery_state,ssm_baseline_state,ssm_fatigue_state,sleep_recovery_index,sleep_recovery_index_var,sleep_recovery_index_sd,sleep_obs_missing,sleep_input_quality,sleep_obs_var_multiplier,sleep_innovation,ssm_state_lo,ssm_state_hi,ssm_state_var,ssm_state_sd,ssm_baseline_state_var,ssm_fatigue_state_var,ssm_baseline_state_sd,ssm_fatigue_state_sd,ssm_obs_missing,ssm_load_missing,ssm_load_context_mode,ssm_proc_var_multiplier,ssm_input_quality,ssm_obs_var_multiplier,ssm_innovation,control_rolling_hrv_7d,control_load_7d
2025-07-29,True,True,3.89968073885902,4.169964421418231,0.2702836825592113,,,,True,suppressed,1.0,,3.5786542979537437,4.220707179764296,0.010321089319259447,0.10159276214012221,0.007903678106213587,0.009892994704510388,0.08890263272937189,0.09946353454663868,False,False,session_recorded,1.0,clean,1.0,-0.009346791403657573,3.9093599202683786,579.0
2025-07-30,True,True,3.9018309150036945,4.1602264166120255,0.2583955016083312,,,,True,suppressed,1.2,,3.591366217858264,4.212295612149124,0.009653134918229223,0.09825036853991552,0.007782666886570903,0.009636203517946485,0.08821942465563297,0.09816416616029744,False,False,session_recorded,1.0,clean,1.0,-0.06809104360690199,3.96623002253409,468.0
2025-07-31,True,True,3.905909296355078,4.156820851871753,0.25091155551667527,,,,True,suppressed,1.0,,3.6005459059069316,4.211272686803225,0.00933851598352677,0.09663599734843518,0.007706505034424963,0.009527632508963681,0.08778670192247208,0.09760959229995626,False,False,session_recorded,1.0,clean,1.0,-0.0174940645583197,3.9588334168770785,407.0
2025-08-01,True,True,3.949573886883745,4.161351231722077,0.21177734483833185,,,,True,suppressed,1.15,,3.617869850222016,4.281277923545474,0.01101908268513755,0.1049718185282962,0.007948646962733511,0.010140170471343166,0.08915518472154893,0.10069841344998026,False,False,session_recorded,1.0,degraded,3.5,0.25695710634981017,3.9838751967575075,422.0
2025-08-02,True,True,3.935194911913644,4.1661540334763965,0.2309591215627528,,,,True,suppressed,1.15,,3.6196717614991165,4.250718062328171,0.009970257795405859,0.09985117823744424,0.007789087032239537,0.009723719452736245,0.0882558045243458,0.09860892177047798,False,False,session_recorded,1.0,clean,1.0,0.034526041430624765,3.9778242545123117,352.0
2025-08-03,True,True,3.874140163730833,4.157724526850785,0.28358436311995205,,,,True,suppressed,1.15,,3.56635747377206,4.181922853689606,0.009487074489284934,0.09740161440800113,0.007695955204490151,0.009551380916501642,0.08772659348504393,0.09773116655653734,False,False,session_recorded,1.0,clean,1.0,-0.11618333312901097,3.9281104324210294,370.0
2025-08-04,True,True,3.8664559835151806,4.13736680927572,0.2709108257605396,,,,True,suppressed,1.15,,3.56244035382025,4.170471613210111,0.009256264406734572,0.09620948189619655,0.007636605951322801,0.009480193640326701,0.08738767619820773,0.09736628595323281,False,False,session_recorded,1.0,clean,1.0,-0.1712668669159041,3.9005789972447045,281.0
2025-08-05,True,True,3.800845561219306,4.122080069165002,0.32123450794569625,,,,True,suppressed,1.15,,3.498698523568553,4.102992598870059,0.00914282926727391,0.09561814298172659,0.007595904889512068,0.009451146064059219,0.08715448863662771,0.09721700501485951,False,False,session_recorded,1.0,clean,1.0,-0.19276004947770708,3.8662928629823434,354.0
2025-08-06,True,True,3.804984839180279,4.122674170934121,0.31768933175384184,,,,True,suppressed,1.15,,3.4616498806528266,4.148319797707732,0.011805380245857155,0.10865256667864388,0.007994736821426845,0.010428453031282784,0.0894132921965568,0.10211979745026321,True,False,session_recorded,1.0,suppressed,3.5,,3.8683891203673584,390.0
2025-08-07,True,True,3.800051279211285,4.106691894262693,0.3066406150514078,,,,True,suppressed,1.15,,3.479064171561688,4.1210383868608815,0.010318560323990353,0.10158031464801806,0.007792156630748066,0.00982468543634925,0.0882731931604837,0.09911955123157716,False,False,session_recorded,1.0,clean,1.0,-0.12799507120576203,3.8416734454725208,373.0
