Fecha,polar_sleep_duration_min,polar_sleep_span_min,polar_deep_pct,polar_rem_pct,polar_efficiency_pct,polar_continuity,polar_continuity_index,polar_interruptions_long,polar_interruptions_total,polar_sleep_score,polar_night_rmssd,polar_night_rri,polar_night_resp,sleep_dur_p10,sleep_dur_p90,sleep_int_p90
2025-11-01,405.5,420.0,,,96.54761904761904,3.0,3.7,2.0,17.0,,,,,363.0,494.70000000000005,8.0
2025-11-02,469.5,515.0,,,91.16504854368932,1.0,1.9,11.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-11-03,391.0,413.0,,,94.6731234866828,2.0,2.7,3.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-11-04,429.0,471.5,,,90.98621420996818,2.0,2.5,4.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-11-05,439.0,467.5,,,93.90374331550802,3.0,3.2,1.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-11-06,400.0,429.0,,,93.24009324009324,3.0,3.1,7.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-11-07,486.0,509.5,,,95.38763493621197,4.0,4.2,6.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-11-08,503.0,541.5,,,92.89012003693443,2.0,2.8,8.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-11-09,490.5,529.0,,,92.72211720226842,2.0,2.5,7.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-11-10,471.0,505.5,,,93.17507418397626,2.0,2.4,4.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-11-11,441.0,470.5,,,93.73007438894793,3.0,3.8,5.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-11-12,483.0,508.0,,,95.07874015748033,3.0,3.2,3.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-11-13,462.0,491.0,,,94.09368635437882,3.0,3.2,6.0,24.0,,,,,363.0,494.70000000000005,8.0
2025-11-14,631.0,664.0,,,95.03012048192772,2.0,2.9,5.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-11-15,445.0,470.5,,,94.58023379383634,2.0,2.7,3.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-11-16,428.5,450.0,,,95.2222222222222,2.0,2.9,2.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-11-17,493.0,537.5,,,91.72093023255816,2.0,2.9,10.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-11-18,441.0,467.5,,,94.33155080213903,2.0,2.9,3.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-11-19,494.0,514.0,,,96.1089494163424,3.0,3.9,2.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-11-20,477.5,503.5,,,94.8361469712016,3.0,3.2,6.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-11-21,484.0,510.5,,,94.80901077375124,2.0,2.8,1.0,30.0,,,,,363.0,494.70000000000005,8.0
